province,hospital_th,hospital_en,h_code,affiliation,hospital_type,beds,specialty_note,health_region
แพร่,โรงพยาบาลแพร่ราม,PHRAERAM HOSPITAL,22343,เอกชน,รพ.เอกชน,60.0,,1
กรุงเทพมหานคร,โรงพยาบาลบางกอกอินเตอร์เนชั่นแนลเด็นทัลคลินิกทันตกรรม,,22431,เอกชน,รพ.เอกชน,0.0,,13
ชัยภูมิ,โรงพยาบาลชัยภูมิรวมแพทย์,CHAIYAPHUM RUAMPAET HOSPITAL,22454,เอกชน,รพ.เอกชน,31.0,,9
กรุงเทพมหานคร,ศูนย์บริการสาธารณสุข 64 คลองสามวา,PUBLIC HEALTH CENTER 64,22455,สังกัด กทม.,ศูนย์บริการสาธารณสุข,0.0,,13
นครราชสีมา,โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ ๘๐ พรรษา,PRATHONGKHAM GLORIFIES HIS MAJESTY THE KING'S 80TH BIRTHDAY ANNIVERSARY HOSPITAL,22456,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,9
กรุงเทพมหานคร,แพทย์หลวงสวนจิตรลดา กองแพทย์หลวง สำนักพระราชวัง,ROYAL MEDICAL DIVISION BUREAU OF THE ROYAL HOUSEHOLD CHITRALADA PALACE SUBDIVISION,22523,สำนักพระราชวัง,สำนักพระราชวัง,0.0,,13
กรุงเทพมหานคร,คลินิกศูนย์แพทย์พัฒนา,MEDICAL DEVELOPMENT CLINIC,22525,เอกชน,รพ.เอกชน,0.0,,13
สมุทรสาคร,โรงพยาบาลเอกชัย,KRATHUMBAEN HOSPITAL,22615,เอกชน,รพ.เอกชน,0.0,,5
ระยอง,โรงพยาบาลเขาชะเมาเฉลิมพระเกียรติ ๘๐ พรรษา,"KAOCHAMAO COMMUNITY HOSPITAL COMMEMORATING HIS MAJESTY THE KING'S 80thBIRTHDAY ANNIVERSARY, 5th DECEMBER 2007",22734,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),27.0,การดูแลผู้ป่วยโรคเรื้อรัง(NCDs) แบบบูรณาการร่วมกับภาคีเครือข่าย,6
กรุงเทพมหานคร,โรงพยาบาลจุฬาภรณ์,CHULABHORN HOSPITAL,22737,กระทรวงศึกษาธิการ,กระทรวงศึกษาธิการ,74.0,,13
นครปฐม,ศูนย์การแพทย์กาญจนาภิเษก คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล,"GOLDEN JUBILEE MEDICAL CENTER,  FACULTY OF MEDICINE HOSPITAL, MAHIDOL UNIVERSITY",22952,มหาวิทยาลัย,โรงเรียนแพทย์,80.0,,5
มหาสารคาม,สุทธาเวช คณะแพทยศาสตร์ มหาวิทยาลัยมหาสารคาม,SUDDHAVEJ HOSPITAL FACULTY OF MEDICINE MAHASARAKHAM UNIVERSITY,22953,มหาวิทยาลัย,โรงเรียนแพทย์,157.0,ให้บริการตรวจรักษาในระดับตติยภูมิด้าน จักษุวิทยา ตจวิทยา โรคเรื้อรัง และชุมชน,7
ศรีสะเกษ,โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ ๘๐ พรรษา,"BENCHALAK HOSPITAL COMMEMORATING HIS MAJESTY THE KING’S 80th BIRTHDAY ANNIVERSARY, 5th DECEMBER 2007",23125,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,10
กรุงเทพมหานคร,ศูนย์บริการสาธารณสุข 68 สะพานสูง,PUBLIC HEALTH CENTER 68,23159,สังกัด กทม.,ศูนย์บริการสาธารณสุข,0.0,,13
ชลบุรี,โรงพยาบาลเอกชล 2,AIKCHOL 2 HOSPITAL,23207,เอกชน,รพ.เอกชน,100.0,,6
ยโสธร,โรงพยาบาลรวมแพทย์ยโสธรโรงพยาบาลทั่วไปขนาดกลาง,RUAMPHAET YASOTHON  HOSPITAL,23208,เอกชน,รพ.เอกชน,60.0,ผ่าตัดโรคในช่องท้อง,10
กรุงเทพมหานคร,ศูนย์บริการสาธารณสุข 67 ทวีวัฒนา,PUBLIC HEALTH CENTER 67 THAWEEWATTHANA,23229,สังกัด กทม.,ศูนย์บริการสาธารณสุข,0.0,,13
หนองบัวลำภู,โรงพยาบาลนาวังเฉลิมพระเกียรติ ๘๐ พรรษา,NAWANGCHALERMPRAKIET 80 PANSA HOSPITAL,23367,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,ทดสอบ,8
เชียงราย,โรงพยาบาลมหาวิทยาลัยแม่ฟ้าหลวง,MAE FAH LUANG UNIVERSITY HOSPITAL,23429,กระทรวงศึกษาธิการ,กระทรวงศึกษาธิการ,0.0,,1
